Short Period,Long Period,Final Value
5,20,99998.02460026741
5,30,99998.02460026741
5,40,99998.31550002098
10,20,99998.2406001091
10,30,99998.30710029602
10,40,99998.6200003624
15,20,100000.0
15,30,99998.28610014915
15,40,99998.72000026703
